Surname,Estimated Salary,Is Active Member,Credit Score,Geography,Gender,Age,Balance,Tenure,Number Of Products,Has Cr Card,Exited
Williams,166692.03,yes,449,Spain,Male,32,155619.36,0,1,yes,no
Olisanugo,5353.12,yes,613,Spain,Male,37,171653.17,3,1,no,no
Padovano,86019.48,yes,683,Germany,Female,39,47685.47,2,2,yes,no
Rossi,86383.82,yes,581,France,Male,35,0,4,2,no,no
Mitchell,24411.02,yes,558,Germany,Male,26,148853.29,1,2,yes,no
Repina,186035.72,no,805,Germany,Male,24,143221.35,6,2,yes,no
Ellis,73133.82,yes,687,France,Male,35,0,9,2,no,no
Douglas,187734.49,no,695,Spain,Male,56,0,1,3,yes,yes
Becher,111590.35,no,562,France,Male,33,0,6,2,yes,no
Nwachukwu,15859.95,no,613,Germany,Male,38,126265.88,9,2,no,no
Smith,61324.87,no,589,France,Male,37,0,5,1,yes,no
Aksyonov,176868.89,yes,593,Spain,Male,31,112713.34,8,1,yes,no
Artyomova,98896.06,yes,714,France,Male,34,141173.03,5,1,no,no
Medvedeva,108739.15,yes,588,Spain,Female,35,0,7,2,yes,no
Tsui,12266.06,no,679,Spain,Male,39,0,6,2,yes,no
Runyon,163317.5,yes,730,Spain,Male,38,118866.36,5,1,yes,no
Gallo,182247.77,yes,833,France,Male,47,0,2,2,yes,no
Bradshaw,168261.4,yes,586,Spain,Female,33,0,7,2,yes,no
Evans,158590.66,no,567,Spain,Female,54,92316.31,5,2,yes,yes
Hancock,102566.46,no,637,Germany,Male,30,122185.53,1,1,yes,yes
Butler,141827.83,no,711,France,Male,38,123345.85,4,1,yes,no
Bergamaschi,192013.23,no,500,Spain,Male,38,0,7,2,no,no
Ebelegbulam,127875.1,no,807,France,Male,47,95120.59,1,1,no,no
Greco,60811.56,no,850,France,Male,40,102800.65,8,1,yes,no
Lucas,131177.22,yes,782,France,Female,70,97072.42,7,1,no,no
Dobbs,72970.93,yes,582,Spain,Male,33,0,6,2,no,no
Thomson,28123.99,no,468,France,Male,22,0,2,2,yes,no
Su,140754.19,no,670,France,Male,36,0,3,1,yes,yes
Watkins,166650.32,no,805,France,Male,39,0,2,1,no,no
Ch'ien,45507.24,no,720,France,Male,26,51962.91,10,2,yes,no
Monds,112202.64,no,781,Spain,Female,29,98759.89,6,1,no,no
McClemans,37140.2,yes,592,Germany,Male,33,156570.86,2,1,yes,no
Gallo,100982.93,no,532,France,Male,42,159024.71,1,1,yes,yes
Foveaux,109626.13,yes,520,France,Female,39,73493.17,1,1,no,yes
Calabresi,143345.69,no,473,France,Female,35,69617.36,6,1,yes,no
Randall,59653.03,no,639,Spain,Female,35,136526.26,5,2,yes,no
Garcia,196864.61,yes,705,France,Male,25,113736.27,3,1,no,no
Higgins,127256.7,yes,516,Germany,Female,33,138847.9,10,1,yes,no
Crawford,1099.95,no,850,France,Female,40,0,0,2,yes,no
Currey,48553.77,no,622,Germany,Male,33,96926.12,3,2,yes,no
Teng,144407.1,no,743,France,Male,30,77599.23,7,1,no,no
Austin,195760.53,yes,732,Germany,Male,38,178787.54,5,1,yes,no
Hudson,44827.47,yes,850,France,Male,81,0,5,2,yes,no
Ts'ui,88743.99,yes,850,Germany,Female,34,129668.43,3,2,yes,no
Hancock,88837.11,yes,686,France,Male,34,146178.13,6,2,yes,no
Napolitano,163563.07,no,673,France,Male,37,0,4,2,no,no
Foster,42429.88,yes,634,Germany,Female,56,116251.24,3,1,no,yes
Chiedozie,134175.15,no,564,Germany,Female,30,100954.88,0,2,no,no
Okwukwe,92243.94,no,625,France,Female,51,124620.01,4,2,yes,yes
Lumholtz,6175.53,yes,677,Spain,Female,34,0,4,2,yes,no
Rose,29213.63,no,583,France,Male,40,112701.04,9,1,no,no
Wan,67214.02,yes,592,Spain,Male,45,84692.5,8,1,no,no
De Bernales,169037.84,no,637,Germany,Male,49,108204.52,2,1,yes,yes
Ch'eng,188809.23,yes,850,France,Male,30,86449.39,6,1,yes,no
Edmondson,79408.17,yes,633,Spain,Male,42,0,10,1,no,no
Ch'ien,89222.66,yes,751,Germany,Male,36,73194.99,5,1,yes,no
Millar,86079.67,no,592,Germany,Male,31,124593.23,7,1,yes,no
Toscani,166516.84,yes,641,Germany,Male,42,121765.37,3,2,yes,no
Pan,126419.8,no,849,France,Male,35,110837.73,4,1,no,no
Chigozie,89103.05,yes,647,Spain,Male,47,99835.17,10,1,no,no
Sagese,132973.17,no,608,Germany,Female,30,91057.37,2,2,yes,no
Taylor,167522.19,no,497,Spain,Male,27,149400.27,7,1,no,no
Yen,157239.6,no,599,Germany,Male,38,89111.63,9,1,no,no
Kapustin,107429.71,yes,545,Germany,Male,33,132527.9,1,2,no,no
Singh,75304.09,no,774,France,Female,36,114997.42,9,1,yes,no
Yeh,182944.47,no,464,France,Male,46,161798.53,6,1,yes,no
Genovese,5983.7,yes,696,Germany,Female,27,96129.32,2,2,yes,no
Boyle,163655.01,no,667,Spain,Male,45,0,3,2,no,no
Blair,89385.92,no,812,France,Male,32,133050.97,5,2,yes,no
Okagbue,168773.54,yes,516,France,Male,51,120124.35,8,2,no,no
Khan,96864.36,no,645,France,Male,39,0,8,2,no,no
Robertson,134455.84,no,664,Spain,Male,32,133705.74,5,1,no,no
Tikhonov,28368.37,no,427,Spain,Female,39,0,9,2,yes,no
MacDonald,103898.59,no,685,France,Female,40,0,7,2,yes,no
Ah Mouy,63239.65,no,585,France,Female,33,152805.05,4,1,yes,no
Barese,170138.68,yes,519,Germany,Female,21,151701.45,1,3,yes,yes
Wilson,92977.75,yes,717,France,Female,22,112465.06,5,1,yes,no
Fiorentino,191368.37,no,465,Germany,Male,24,156007.09,6,1,yes,no
Iloerika,104889.2,no,829,Germany,Male,28,132405.52,3,3,yes,yes
Davison,60285.3,no,826,France,Male,26,142662.68,5,1,no,no
Hamilton,180693.61,yes,747,Germany,Male,36,102603.3,8,2,yes,no
Nnachetam,126475.79,no,707,Spain,Male,32,0,9,2,yes,no
Blue,133535.99,no,590,Spain,Male,37,0,1,2,no,no
Mills,164886.64,yes,615,France,Male,45,0,5,2,yes,no
Ferrari,116238.39,no,634,France,Female,36,69518.95,1,1,yes,no
McCartney,1985.41,no,591,Germany,Female,44,113581.98,10,1,yes,no
Robinson,165626.6,no,574,France,Male,34,112572.39,1,1,no,no
Nkemdirim,177784.68,no,467,Germany,Male,51,114514.71,10,2,yes,yes
Kao,50759.8,yes,747,France,Female,34,0,10,2,yes,no
Ikechukwu,163216.48,no,650,France,Male,32,84906.45,2,1,yes,no
Murphy,134272.57,no,569,Spain,Male,41,0,2,2,yes,no
Munro,155721.15,no,459,Germany,Male,50,109387.9,5,1,yes,no
Donnelly,147230.77,no,632,Germany,Male,23,122478.51,3,1,yes,yes
Sinclair,100507.81,yes,512,France,Female,41,0,6,1,yes,no
Vasiliev,59346.4,no,616,France,Female,31,136789.14,3,1,yes,yes
Vasilyeva,95372.64,yes,664,France,Male,36,0,1,2,yes,no
Hamilton,31805.49,yes,694,France,Male,30,144684.03,10,1,yes,no
Genovesi,130824.57,yes,607,France,Female,33,91301.72,8,1,no,no
Atkinson,157694.76,no,684,Spain,Male,39,207034.96,4,2,no,yes
Watterston,933.38,yes,763,Spain,Male,37,0,8,2,yes,no
Gorbunova,176692.87,no,666,Spain,Female,36,0,6,2,yes,no
Bulgakov,102908.63,yes,667,France,Male,34,0,5,2,yes,no
Steele,41291.05,yes,850,Spain,Male,36,0,6,2,no,no
Polyakova,119127.06,no,622,Spain,Male,42,0,9,2,yes,no
Bull,126434.61,yes,577,France,Female,30,92472.1,8,2,no,no
Weaver,103901.35,no,555,Spain,Male,21,0,1,2,no,no
Earl,85153,yes,547,France,Male,62,127738.75,10,2,yes,no
Giordano,12493.61,no,613,Germany,Female,50,101242.98,5,2,yes,no
Begg,167336.78,yes,672,France,Female,43,92599.55,4,2,yes,no
Pickering,186180.42,yes,624,Spain,Female,36,0,10,2,no,no
Fanucci,88566.9,no,698,Spain,Female,50,0,1,4,yes,yes
Chang,172526.9,no,606,France,Male,37,82373.94,6,1,no,yes
Sopuluchi,137985.69,no,720,Spain,Male,31,141356.47,4,1,no,no
Martin,19793.73,no,835,France,Male,23,0,9,1,yes,yes
McNaughtan,107874.39,yes,771,Spain,Female,47,72664,3,2,yes,no
Reagan,61829.89,no,734,Germany,Male,33,121898.58,5,1,yes,no
Heller,31728.35,yes,548,Spain,Male,33,0,6,1,yes,no
Nwokeocha,155221.05,no,652,France,Female,31,103696.97,3,3,no,yes
Liu,130866.95,no,707,France,Male,33,0,2,2,no,no
Bancroft,24255.21,no,623,France,Female,34,0,9,1,yes,no
Nnanna,64679.07,no,686,Germany,Male,29,185379.02,3,1,yes,no
Trevisani,88120.78,no,525,Germany,Female,47,118087.68,1,1,yes,yes
Nwachinemelu,66463.62,yes,657,Spain,Male,41,109402.13,8,1,yes,no
Ting,15142.1,no,730,Germany,Female,33,130367.87,7,1,yes,yes
Lo Duca,102908.91,no,816,Germany,Female,34,108410.87,2,2,yes,no
Marshall,48170.57,no,484,France,Female,50,90408.16,2,2,no,no
Band,11597.69,yes,728,France,Female,34,90425.15,6,2,yes,no
Ferri,172450.04,no,730,Spain,Female,39,140094.59,6,1,yes,yes
Carter,184061.17,yes,477,Spain,Male,31,0,9,2,no,no
Wilson,21038.58,yes,663,Germany,Female,46,95439.4,6,1,yes,yes
Connor,109538.35,no,549,Germany,Male,34,204017.4,6,2,yes,no
Bidwill,181430.91,no,504,Germany,Male,43,134740.19,5,2,yes,no
Cone,121451.21,no,530,France,Female,29,0,5,2,no,no
Saunders,131712.51,yes,619,Germany,Male,29,98955.87,4,1,no,no
Liardet,53294.17,no,617,Germany,Male,44,49157.09,9,2,yes,no
Wilkes,96546.55,no,791,Germany,Male,31,130240.33,1,1,no,no
Martin,184524.65,yes,609,France,Male,48,108019.27,1,3,yes,yes
Patel,172618.52,yes,777,Germany,Female,34,96693.66,5,1,yes,no
Howell-Price,59259.44,yes,817,Germany,Female,27,129810.6,7,1,yes,no
Simpson,25899.21,no,850,France,Male,58,156652.13,8,1,no,yes
Barnard,101918.96,yes,693,France,Male,40,130661.96,4,1,yes,no
Nnonso,57802.62,yes,576,France,Female,50,0,8,2,yes,no
Pendred,143829.54,no,757,France,Male,47,130747.1,3,1,yes,no
K?,186948.35,yes,772,Spain,Male,36,112029.83,3,1,yes,no
Miller,173629.78,yes,576,Germany,Male,29,130575.26,7,1,no,no
Sims,178122.71,no,794,France,Male,33,0,0,2,no,no
Onio,180490.53,yes,692,Germany,Male,24,120596.93,2,1,no,no
Black,87400.53,yes,697,France,Female,48,0,1,2,yes,no
Eluemuno,73686.75,yes,768,France,Male,29,95984.69,2,2,yes,no
Onyemere,89286.29,no,584,France,Male,47,0,5,2,yes,no
Rahman,180082.7,yes,614,Spain,Male,66,0,2,2,no,no
Samaniego,159557.28,no,770,France,Female,68,183555.24,2,1,no,yes
Onwumelu,107673.35,yes,633,France,Male,38,91902.56,2,2,yes,no
Young,33607.72,yes,663,France,Male,40,156218.19,6,1,no,no
Toscano,115719.08,yes,561,Germany,Female,45,168085.38,2,2,no,no
Walton,86128.21,no,479,Germany,Male,51,107714.74,1,3,yes,yes
Chiang,147668.64,no,769,France,Female,31,117852.26,6,2,yes,no
Burgos,177480.45,no,659,Spain,Male,60,0,2,1,yes,yes
Spinelli,190937.09,yes,590,Spain,Female,51,84474.62,10,2,yes,no
Lung,84531.79,no,560,France,Male,50,0,3,2,yes,no
Noble,161133.4,yes,437,Germany,Male,35,126803.34,6,2,yes,no
Pai,185555.63,no,661,France,Female,34,0,0,2,yes,no
Chigozie,33075.24,no,677,Germany,Female,36,68806.84,10,1,yes,no
Peavy,39806.75,no,560,France,Female,31,115141.18,3,1,yes,no
Burton,12162.76,yes,421,Spain,Male,34,90723.36,6,1,yes,no
Costa,167237.94,yes,492,Germany,Female,49,151249.45,2,2,yes,no
Pugliesi,52067.37,yes,545,France,Female,32,0,6,2,yes,no
Lindell,184006.36,no,640,Germany,Female,43,94752.49,9,1,yes,yes
Sorenson,582.59,no,624,Spain,Female,34,0,6,1,yes,yes
Arcuri,143274.41,no,577,Spain,Male,28,0,7,1,yes,no
Banks,54474.48,yes,704,France,Male,31,132084.66,5,3,yes,yes
Parry,121428.2,yes,523,France,Male,45,0,5,2,yes,no
Cockett,79704.12,yes,793,France,Male,35,0,2,2,yes,no
Chiazagomekpere,1243.97,yes,695,Spain,Male,39,65521.2,4,1,yes,no
Maslow,145338.61,yes,704,France,Male,47,0,5,2,yes,no
Wakelin,138880.24,no,692,Spain,Female,29,0,4,2,no,no
Esposito,136120.29,yes,720,France,Female,34,118307.57,3,2,yes,no
Shah,167621.18,yes,577,France,Male,41,0,6,1,yes,no
Chukwufumnanya,173276.62,no,710,Germany,Female,24,103099.17,7,2,yes,no
Lori,66333.56,no,410,France,Male,33,125789.69,6,1,no,yes
Kennedy,70240.79,yes,584,Germany,Female,36,109646.83,4,1,yes,no
Walters,113553.42,yes,792,France,Male,30,127187.86,1,1,yes,no
Lawrence,98802.76,no,486,Spain,Male,24,0,1,1,yes,no
Yermakova,100101.06,no,850,France,Female,37,0,9,1,no,no
Combs,169952.82,yes,717,France,Male,48,123764.95,7,1,yes,no
Chien,61792.76,no,642,Germany,Female,39,128264.03,8,1,yes,yes
Meng,37973.13,yes,780,Spain,Male,47,86006.21,7,1,yes,no
Calabresi,188974.81,no,492,Germany,Female,38,57068.43,8,2,yes,no
Stevenson,86334.64,yes,760,Germany,Male,29,103607.24,5,2,no,no
Ch'in,146652.11,yes,654,Spain,Female,36,0,2,2,yes,no
Rose,45482.04,no,606,Spain,Female,25,147386.72,3,3,yes,yes
Ch'ien,168816.73,no,367,Spain,Male,42,93608.28,6,1,yes,yes
Artyomova,59297.34,yes,799,Spain,Male,38,0,2,2,yes,no
Mayrhofer,125848.88,no,434,Germany,Male,71,119496.87,9,1,yes,no
Yefremov,76264.27,no,719,Spain,Female,32,0,7,1,no,no
Lu,15306.29,yes,461,Spain,Female,25,0,6,2,yes,no
Taplin,58214.79,no,790,Germany,Female,25,152885.77,5,1,yes,no
Ebelechukwu,35877.03,yes,588,France,Male,31,99607.37,4,2,no,no
Fleming,21254.06,no,621,France,Male,27,137003.68,4,1,yes,no
Yefimov,24533.89,yes,768,Germany,Male,48,122831.58,3,1,yes,yes
Andreyeva,23531.5,no,681,Spain,Male,38,99811.44,2,2,yes,no
Pickering,89099.18,no,606,Spain,Male,37,154712.58,8,2,yes,no
Wang,121592.5,yes,713,Germany,Female,24,147687.24,7,1,yes,no
Reynolds,4700.66,yes,597,Spain,Female,33,0,2,2,yes,no
Hales,161909.95,no,635,France,Male,27,127009.83,3,1,yes,no
Rowley,2919.21,no,496,Spain,Female,44,179356.28,0,2,yes,yes
Chia,99086.74,yes,759,Spain,Male,31,0,8,2,yes,no
Copeland,72757.33,yes,564,Spain,Male,31,125175.58,0,1,yes,no
Rishel,73286.8,no,561,France,Female,22,186788.96,6,2,yes,no
Eluemuno,167673.37,no,678,Germany,Female,40,128644.46,8,1,no,no
Hsia,146011.55,yes,707,France,Female,46,127476.73,7,2,yes,no
Muir,83022.92,yes,744,France,Male,42,112419.92,1,1,yes,no
McIntyre,46041.08,yes,598,France,Male,28,129991.76,8,2,no,no
Donaldson,182843.24,yes,562,Spain,Male,36,0,5,1,no,no
Wright,171364.18,yes,621,Spain,Female,59,0,2,2,yes,no
Uvarova,183399.12,no,659,France,Female,50,0,3,1,yes,yes
Allen,50560.45,no,606,France,Female,39,0,3,2,yes,yes
Ma,54702.66,no,603,Spain,Female,39,162390.52,5,2,yes,no
Tucker,78365.75,no,506,Germany,Female,59,190353.08,3,1,yes,no
Ch'eng,68666.63,no,715,France,Male,21,0,8,2,yes,no
Hs?,151375.73,no,690,France,Male,47,0,2,2,yes,no
Esomchi,76267.59,yes,592,France,Female,66,149950.19,5,1,yes,no
Pirogov,191070.01,yes,577,Germany,Female,59,111396.97,7,1,no,no
Larkin,176858.5,no,588,France,Male,30,115007.08,3,1,no,no
Crawford,78896.59,yes,810,France,Male,32,120879.73,9,2,no,no
Bezrukov,121964.46,no,767,Spain,Male,47,0,5,1,yes,yes
Mancini,11144.4,yes,718,Spain,Female,49,82321.88,10,1,no,no
Iadanza,144181.48,no,589,Spain,Female,27,0,4,2,yes,no
Wilkinson,32757.55,yes,778,Spain,Male,33,116474.28,5,2,yes,no
P'eng,80320.3,no,724,France,Female,34,132352.69,3,1,yes,no
St Clair,185830.72,no,477,Germany,Female,39,182491.57,4,1,yes,no
Findlay,52198.84,yes,566,Spain,Male,63,120787.18,2,2,yes,no
Gorshkov,104181.78,yes,706,Germany,Male,32,88348.43,5,2,yes,no
Chukwubuikem,67667.19,yes,703,Spain,Male,31,0,6,2,yes,no
Medvedeva,193974.47,yes,679,Germany,Male,39,146186.28,2,2,yes,no
Chukwuhaenye,198055.94,no,603,France,Male,32,0,7,1,yes,yes
Endrizzi,43249.67,yes,598,Spain,Male,34,104488.17,0,1,no,no
Ch'ang,55218.02,no,836,Germany,Female,32,109196.67,4,2,yes,no
Piccio,131305.37,no,687,France,Female,61,80538.56,7,1,yes,yes
Lockington,43117.1,yes,704,Germany,Male,41,109026.8,4,2,yes,no
Seleznyov,186655.11,yes,605,Germany,Male,75,61319.63,2,1,no,no
Groom,555.28,yes,572,France,Female,39,0,2,2,yes,no
Manfrin,150944.31,no,557,France,Male,42,177822.03,6,1,yes,yes
Robertson,72846.58,no,443,Germany,Male,59,110939.3,4,1,yes,yes
Lucchesi,2101.89,yes,483,France,Male,27,77805.66,1,1,yes,no
Cambage,94949.84,no,702,France,Male,50,0,3,2,no,no
Tao,74692.06,no,804,Spain,Female,38,124197.22,3,1,yes,no
Burdekin,32824.15,no,554,France,Female,39,160132.75,10,1,yes,no
Maughan,115525.13,yes,758,Germany,Male,32,162657.64,4,2,yes,no
Franz,20955.03,no,787,Germany,Male,43,132217.45,0,1,yes,yes
Piazza,52341.15,no,582,Spain,Male,25,148042.97,9,2,yes,no
Becher,169935.46,no,766,Germany,Male,47,129289.98,9,1,yes,yes
Lombardi,146033.52,yes,564,Spain,Male,37,100252.18,9,1,yes,no
Loton,153122.73,yes,602,Spain,Male,37,107592.89,3,2,no,no
Conti,60335.24,yes,649,France,Male,39,113096.41,3,1,yes,no
Lori,156648.81,no,639,Spain,Male,34,149940.04,7,2,no,no
Wong,176471.78,yes,790,Germany,Male,50,121438.58,8,1,yes,yes
Lombardi,5388.3,no,565,France,Male,32,0,9,2,yes,no
Obialo,93332.64,yes,478,France,Female,50,0,2,1,no,yes
Mazzi,71192.82,yes,825,France,Male,29,148874.01,3,2,no,no
Miller,109794.31,yes,577,Spain,Male,35,110080.3,5,1,yes,no
Miracle,166310.82,yes,663,France,Male,24,0,7,2,yes,no
Su,126728.27,yes,505,Germany,Female,25,114268.85,5,2,yes,no
Wyatt,30338.94,no,633,Germany,Male,29,117412.35,6,1,no,no
Anayolisa,37935.83,yes,586,France,Female,38,0,6,2,yes,no
Bruno,169498.61,yes,744,France,Male,56,0,9,2,yes,no
Greece,26500.29,yes,750,France,Male,36,136492.92,7,3,yes,yes
Yang,166458.41,yes,637,Germany,Male,28,123675.69,3,1,yes,no
Brown,181294.39,no,575,France,Female,40,139532.34,1,1,yes,no
Anderson,21768.21,yes,671,Spain,Male,58,178713.98,1,1,yes,no
Golibe,98994.92,no,619,Spain,Male,38,96143.47,3,1,no,no
Nikitina,141446.01,yes,640,Germany,Female,30,32197.64,5,1,no,no
Leonard,77864.41,yes,670,France,Male,38,0,7,2,yes,no
Burns,115115.32,no,737,France,Female,33,0,4,2,yes,no
Clark,38550.4,no,742,France,Male,33,0,6,2,no,no
Spencer,3701.63,no,560,France,Female,35,0,1,2,yes,no
Chao,88659.44,no,654,France,Male,38,0,8,2,yes,no
Costa,44273.91,yes,787,Germany,Female,42,74483.97,2,2,no,no
McLachlan,156495.39,yes,611,France,Female,53,0,7,2,no,yes
Akhtar,175082.2,yes,481,France,Male,37,152303.66,8,2,yes,no
Toscani,148811.14,no,753,Germany,Male,32,159904.79,5,1,yes,no
Gray,85901.09,no,675,France,Male,32,0,1,3,yes,no
Warren,199255.32,no,748,Germany,Female,31,99557.94,1,1,yes,no
Ramsden,107973.44,no,610,Spain,Female,46,116886.59,5,1,no,no
Wenz,104610.86,no,624,Germany,Female,40,149961.99,3,2,yes,no
Mai,35982.42,no,605,France,Female,34,0,2,1,no,no
Newman,167682.57,no,747,France,Female,21,81025.6,4,2,yes,no
Pagnotto,56562.57,yes,664,France,Male,57,0,1,2,yes,no
Williams,90305.97,no,711,France,Female,39,152462.79,3,1,yes,no
Plummer,1843.24,no,632,Spain,Male,28,155519.59,7,1,yes,no
Onochie,105352.55,yes,682,France,Male,40,0,4,1,no,no
Rizzo,85801.77,no,797,France,Male,37,75263.7,4,1,yes,no
Boni,69370.05,yes,668,Spain,Male,38,147904.31,1,1,yes,no
Davies,176945.96,no,783,Germany,Female,41,106640.5,5,1,yes,no
Lu,21597.2,yes,766,Germany,Female,28,90696.78,4,1,no,no
Burrows,152039.67,no,704,Spain,Female,36,175509.8,2,2,yes,no
Ershova,111893.09,yes,722,France,Male,40,0,6,2,yes,no
Udokamma,195074.62,no,692,France,Female,34,0,7,2,yes,no
Aitken,15959.01,no,584,France,Female,35,114321.28,2,2,no,no
Turnbull,72628.84,no,644,Germany,Female,51,95560.04,4,1,no,yes
Reilly,64157.24,yes,598,Germany,Female,50,88379.81,5,3,no,yes
Hardy,23860.5,yes,733,Germany,Male,48,85915.52,7,1,yes,no
Brookman,85687.09,yes,615,Germany,Male,58,72309.3,3,1,yes,yes
Kerr,179451.42,no,850,France,Female,39,0,2,2,yes,no
McBurney,93180.09,yes,521,France,Male,43,0,8,1,yes,no
Mickey,157097.09,no,675,France,Male,69,0,1,2,yes,no
Harrison,80344.96,yes,746,France,Male,58,0,3,3,yes,yes
Olszewski,26080.54,no,770,France,Female,33,0,4,1,yes,yes
Chijioke,31406.93,yes,618,France,Male,30,133844.22,3,1,yes,no
Young,32044.64,yes,556,France,Male,36,154872.08,7,2,yes,no
Bellasis,132734.87,no,749,France,Female,27,0,9,2,yes,no
De Mestre,61602.42,no,702,Spain,Male,43,116121.67,6,1,yes,no
De Luca,41304.44,yes,555,Germany,Male,42,107104.5,6,1,yes,yes
Mundy,57962.41,no,587,France,Male,47,71026.77,6,1,yes,no
Tung,42862.82,no,639,France,Male,38,0,3,1,yes,no
Okagbue,91193.65,yes,600,France,Female,41,0,1,2,yes,no
Verjus,88751.45,no,666,France,Female,27,0,4,2,no,no
H?,104118.93,no,520,France,Female,39,145644.05,6,1,no,no
Napolitani,42028.16,no,650,Spain,Female,50,129667.77,7,1,no,no
Ginikanwa,75632.78,no,564,Germany,Male,33,109341.87,3,1,yes,no
Spaull,53710.23,yes,586,France,Male,64,0,1,2,yes,no
Siciliani,13066.3,yes,617,France,Female,35,0,5,2,no,no
Voronina,152417.97,no,712,Spain,Female,30,0,6,2,yes,no
Tang,3299.01,yes,654,France,Male,55,87485.67,3,1,yes,no
Crumbley,198091.81,no,605,France,Male,27,0,9,2,yes,no
Hamilton,103934.12,yes,491,France,Female,36,53369.13,0,1,yes,no
Piazza,70403.65,yes,707,France,Female,35,0,9,2,yes,no
Birch,102179.86,no,638,Spain,Male,34,146679.77,5,1,yes,no
Custance,30375.18,no,683,France,Male,43,112499.42,2,2,yes,no
Anayochukwu,184796.84,no,815,Spain,Female,38,48387,2,1,yes,no
Galkin,166264.89,yes,645,Spain,Male,38,68079.8,1,1,no,no
Adams,88391.97,yes,645,Germany,Male,49,160133.88,4,1,no,no
Toomey,115186.97,yes,683,France,Male,30,66190.33,4,1,yes,no
Marshall-Hall,13935.53,yes,705,France,Female,37,0,10,2,yes,yes
Pagnotto,34712.34,no,786,Germany,Female,33,122325.58,0,1,no,yes
Wood,13871.34,no,534,France,Male,41,0,9,2,yes,no
More,139494.75,yes,602,Spain,Female,42,138912.17,1,1,yes,no
Piccio,140724.64,yes,695,France,Female,42,0,0,2,no,no
Tochukwu,20682.46,no,553,Germany,Female,25,128524.19,7,2,yes,no
P'eng,171056.65,no,849,Germany,Female,49,132934.89,9,1,yes,yes
Nevzorova,25333.03,yes,520,Germany,Male,43,150805.17,3,3,no,yes
McKenzie,38533.79,yes,695,Spain,Male,32,0,9,3,no,no
Okwuoma,156122.13,no,807,Spain,Female,28,165969.26,7,3,yes,yes
Morley,57904.22,yes,642,Germany,Female,36,124495.98,2,3,yes,yes
Kerr,31257.1,yes,703,Germany,Male,39,141559.5,1,1,yes,yes
Harding,193214.05,no,556,France,Male,38,114756.14,2,1,yes,no
Butler,137757.69,yes,585,France,Female,30,0,6,2,yes,no
Crawford,13308.2,no,587,Germany,Female,49,155393.98,7,2,yes,yes
Brown,132861.9,yes,524,Spain,Female,32,0,6,1,yes,yes
Greece,125083.29,no,556,Germany,Female,31,128663.81,1,2,yes,no
Matthews,12405.2,yes,504,Spain,Male,44,113522.64,4,1,yes,no
Heath,37697.29,no,731,Spain,Female,26,0,3,2,yes,no
Vincent,105599.65,yes,651,France,Male,34,0,3,2,yes,no
Sal,142783.98,no,675,Spain,Female,40,79035.95,8,1,yes,yes
Bazile,184036.47,yes,686,Germany,Male,33,141918.09,9,2,no,no
Wardle,48478.47,no,690,France,Female,35,107944.33,9,2,no,no
Lilly,3896.08,yes,567,France,Male,36,0,7,2,no,no
Aitken,132370.75,no,557,Germany,Male,57,120043.13,1,1,yes,yes
Enderby,128260.86,yes,446,Spain,Female,45,125191.69,10,1,yes,yes
Chiu,106534.15,no,850,France,Male,31,96399.31,1,2,yes,no
Sharpe,83643.87,yes,499,France,Male,60,76961.6,7,2,yes,no
Houghton,138906.85,no,622,Germany,Female,34,98675.74,7,1,yes,yes
Konovalova,29995.83,yes,684,Germany,Male,37,126817.13,1,2,yes,yes
Patel,164081.42,no,612,France,Male,32,121394.42,3,1,yes,no
Ngozichukwuka,187976.88,no,813,Germany,Female,29,106059.4,5,1,no,yes
Medland,158171.36,no,850,Germany,Male,44,112755.34,2,2,no,no
Padovano,155711.64,no,795,Spain,Male,29,0,4,2,no,no
H?,83844.79,yes,565,Germany,Female,38,145400.69,7,2,yes,no
Denman,41777.9,no,601,France,Male,39,72647.64,3,1,yes,yes
Ratten,81908.09,yes,802,Spain,Male,40,0,4,2,yes,no
Baxter,139377.24,yes,614,Germany,Female,37,96340.81,6,2,yes,yes
Shen,165786.1,yes,522,Germany,Male,32,124450.36,8,2,yes,no
Reilly,174921.91,no,550,Germany,Male,36,113877.23,2,2,yes,no
Ifeanacho,120790.02,yes,599,Spain,Male,25,0,3,2,yes,no
Lysaght,158816.03,yes,755,France,Male,34,0,3,2,yes,no
T'ang,125660.99,yes,605,France,Female,62,111065.93,4,2,no,no
Abron,128400.62,no,708,France,Male,41,0,0,1,yes,no
Chimaraoke,107181.22,no,699,France,Male,44,158697.61,8,1,yes,no
Y?an,77203.72,no,763,France,Female,53,0,4,1,yes,yes
Ma,187604.97,yes,660,France,Female,48,90044.32,0,2,no,yes
K?,192831.67,no,769,Germany,Male,60,148846.39,9,1,yes,yes
Brown,70849.47,yes,692,France,Male,69,154953.94,10,1,yes,no
Abernathy,27914.95,no,560,France,Female,30,108883.29,0,1,yes,no
Pape,173568.3,no,607,France,Female,48,112070.86,4,3,yes,yes
Tao,9324.31,yes,630,Germany,Male,29,131354.39,6,1,no,yes
Ma,26628.88,no,767,Germany,Female,45,132746.2,7,2,yes,yes
Earle,145601.8,yes,543,France,Female,34,0,8,2,no,no
Kazantsev,144496.07,no,776,France,Male,39,125211.55,8,2,yes,no
Uspenskaya,11779.98,yes,535,Spain,Male,58,0,1,2,yes,yes
